sale_id,product_id,sale_date,quantity_sold
1,1,2023-07-01,5
2,1,2023-07-02,3
3,1,2023-07-03,7
4,2,2023-07-01,10
5,2,2023-07-02,6
6,2,2023-07-03,8
7,3,2023-07-01,15
8,3,2023-07-02,12
9,3,2023-07-03,9
10,4,2023-07-01,8
11,4,2023-07-02,5
12,4,2023-07-03,10
13,5,2023-07-01,20
14,5,2023-07-02,15
15,5,2023-07-03,12
16,6,2023-07-01,25
17,6,2023-07-02,18
18,6,2023-07-03,20
19,7,2023-07-01,30
20,7,2023-07-02,25
21,7,2023-07-03,22
22,8,2023-07-01,8
23,8,2023-07-02,6
24,8,2023-07-03,10
25,9,2023-07-01,12
26,9,2023-07-02,10
27,9,2023-07-03,8
28,10,2023-07-01,5
29,10,2023-07-02,4
30,10,2023-07-03,6
